routing type,vehicles,avg speed,avg time to finish trip,proportion of finished trips,optimaldiffavg,optimaldiff10%avg,dijdiffavg,dijdiff10%avg,algo processing time (ms),"(note only 80% of vehicles are tracked, the other 20% are used to initially populate the network)"
3,2500,8.107860654,237.7439724,0.871,117.6248271,660.796606,3.072764208,66.07977029,128.898178,0.6
3,3000,8.47817581,240.3353086,0.84375,122.1245798,674.6866313,7.433881049,109.4688941,260.235415,0.6
3,3500,7.98604499,260.0087316,0.777142857,160.2584751,820.1922484,7.197953045,115.9284224,516.380385,0.6
3,4000,8.071274929,266.6611324,0.7340625,183.1848661,1004.482139,8.552489848,124.6441507,708.589739,0.6
3,4500,7.750767944,292.0011732,0.710277778,229.7371401,1247.842284,5.937887426,109.7846856,1199.037531,0.6
3,5000,8.02383994,284.9508798,0.682,221.2536637,1138.321403,7.245141987,119.0653833,2211.983811,0.6
3,1000,12.93996279,141.76625,1,15.74268636,128.74575,0,0,20.934085,0.7
3,1500,8.95013206,211.7091667,1,63.19055452,365.2239171,0.252850076,12.99841098,33.115971,0.7
3,2000,7.766361532,242.5959044,0.915625,109.1257861,654.1916817,2.638891558,36.66657489,51.114776,0.7
3,2500,7.490975034,253.7143685,0.863,128.8324125,703.9239056,1.895388889,33.47182925,196.490809,0.7
3,3000,7.533205248,260.4133878,0.815416667,152.3186614,797.8894176,5.219288697,76.85086192,506.643748,0.7
3,3500,7.490971155,268.464857,0.736785714,174.1159906,899.8414241,2.701205765,52.36739275,758.975183,0.7
3,4000,7.528596178,275.0901713,0.693125,204.0090292,1078.978146,2.186350214,48.41627827,876.500679,0.7
3,4500,7.355391124,279.9768404,0.671666667,210.5137291,1052.202137,0.055101837,47.1306366,1290.811383,0.7
3,5000,6.878074215,286.6535558,0.636570561,248.7640466,1331.464088,4.859358596,84.42339174,2109.43262,0.7
3,1000,12.93996279,141.76625,1,15.74268636,128.74575,0,0,21.099658,0.8
3,1500,8.888328189,213.0275,1,65.38620007,378.3615314,0.333590167,3.705619979,32.951084,0.8
3,2000,7.581804113,243.15189,0.909375,115.3931207,700.1540195,1.90056208,21.0794492,45.421955,0.8
3,2500,7.829691465,238.7127907,0.86,119.4937169,685.7654829,0.592694708,15.34257399,269.570352,0.8
3,3000,7.464446662,254.1911458,0.8,151.0794829,796.8222458,1.86795076,29.47194082,473.164053,0.8
3,3500,7.14106484,275.2846751,0.736428571,194.5553181,1025.329757,2.549006403,39.65999768,748.762842,0.8
3,4000,6.980516729,283.261489,0.68,235.0767423,1304.943891,2.102444627,35.13963155,1071.277509,0.8
3,4500,6.46680481,285.7197827,0.61549178,257.5719421,1406.543606,1.749411593,34.94953912,1718.131589,0.8
3,5000,6.039480346,295.1026087,0.60130719,289.8586821,1592.737191,2.498471371,42.091544,2392.441168,0.8
3,1000,12.93996279,141.76625,1,15.74268636,128.74575,0,0,20.62654,0.9
3,1500,8.883277766,212.7058333,1,65.69689127,380.8677969,0.107673267,1.076732673,32.140287,0.9
3,2000,7.432839878,247.629275,0.91375,120.2451922,723.9069013,1.027192697,11.20595218,48.191389,0.9
